a433-microservices-item-db-1  | 2023-06-05T10:27:08.796+0000 I CONTROL  [initandlisten] allocator: tcmalloc
a433-microservices-item-db-1  | 2023-06-05T10:27:08.796+0000 I CONTROL  [initandlisten] modules: none
a433-microservices-item-db-1  | 2023-06-05T10:27:08.796+0000 I CONTROL  [initandlisten] build environment:
a433-microservices-item-db-1  | 2023-06-05T10:27:08.796+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
a433-microservices-item-db-1  | 2023-06-05T10:27:08.796+0000 I CONTROL  [initandlisten]     distarch: x86_64
a433-microservices-item-db-1  | 2023-06-05T10:27:08.796+0000 I CONTROL  [initandlisten]     target_arch: x86_64
a433-microservices-item-db-1  | 2023-06-05T10:27:08.796+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
a433-microservices-item-db-1  | 2023-06-05T10:27:08.800+0000 I -        [initandlisten] Detected data files in /data/db created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
a433-microservices-item-db-1  | 2023-06-05T10:27:08.800+0000 I STORAGE  [initandlisten] 
a433-microservices-item-db-1  | 2023-06-05T10:27:08.800+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
a433-microservices-item-db-1  | 2023-06-05T10:27:08.800+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
a433-microservices-item-db-1  | 2023-06-05T10:27:08.800+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=3427M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
a433-microservices-item-db-1  | 2023-06-05T10:27:10.190+0000 I STORAGE  [initandlisten] WiredTiger message [1685960830:190912][1:0x7f01d550aa40], txn-recover: Main recovery loop: starting at 1/22784
a433-microservices-item-db-1  | 2023-06-05T10:27:10.331+0000 I STORAGE  [initandlisten] WiredTiger message [1685960830:331139][1:0x7f01d550aa40], txn-recover: Recovering log 1 through 2
a433-microservices-item-db-1  | 2023-06-05T10:27:10.421+0000 I STORAGE  [initandlisten] WiredTiger message [1685960830:421876][1:0x7f01d550aa40], txn-recover: Recovering log 2 through 2
a433-microservices-item-db-1  | 2023-06-05T10:27:10.519+0000 I STORAGE  [initandlisten] WiredTiger message [1685960830:519572][1:0x7f01d550aa40], txn-recover: Set global recovery timestamp: 0
a433-microservices-item-db-1  | 2023-06-05T10:27:10.551+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1  | 2023-06-05T10:27:10.551+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
a433-microservices-item-db-1  | 2023-06-05T10:27:10.551+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
a433-microservices-item-db-1  | 2023-06-05T10:27:10.551+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1  | 2023-06-05T10:27:10.560+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
